repository_name,date,clones,unique_cloners
snippets,2023-12-22,3,2

snippets,2023-12-31,2,2
snippets,2023-12-23,1,1
snippets,2023-12-24,1,1
snippets,2023-12-25,1,1
snippets,2024-01-10,4,3
snippets,2023-12-26,4,3
snippets,2023-12-17,1,1
snippets,2024-01-01,2,1
snippets,2023-12-18,5,5
snippets,2023-12-27,2,2
snippets,2024-01-02,2,2
snippets,2024-01-11,3,3
snippets,2024-01-12,4,4
snippets,2024-01-03,2,1
snippets,2023-12-28,2,1
snippets,2023-12-19,10,7
snippets,2023-12-29,2,2
snippets,2024-01-04,2,2
snippets,2024-01-13,4,4
snippets,2024-01-14,4,3
snippets,2024-01-05,2,1
snippets,2024-01-15,4,4
snippets,2024-01-06,2,2
snippets,2024-01-16,3,2
snippets,2024-01-07,4,3
snippets,2023-12-10,1,1
snippets,2024-01-08,14,8
snippets,2023-12-20,14,10
snippets,2024-01-17,2,2
snippets,2024-01-18,3,2
snippets,2023-12-21,2,1
snippets,2023-12-30,2,1
snippets,2024-01-09,2,2
